bairro,grau,ordem_ego,tamanho_ego,densidade_ego
Aflitos,4,5,7,0.7
Afogados,5,6,14,0.9333333333333333
Agua Fria,11,12,31,0.4696969696969697
Alto Do Mandu,5,6,12,0.8
Alto Jose Bonifacio,4,5,6,0.6
Alto Jose Do Pinho,3,4,4,0.6666666666666666
Alto Santa Teresinha,3,4,5,0.8333333333333334
Apipucos,4,5,5,0.5
Areias,6,7,12,0.5714285714285714
Arruda,9,10,24,0.5333333333333333
Barro,7,8,17,0.6071428571428571
Beberibe,5,6,11,0.7333333333333333
Boa Viagem,5,6,8,0.5333333333333333
Boa Vista,8,9,21,0.5833333333333334
Bomba Do Hemeterio,5,6,11,0.7333333333333333
Bongi,4,5,10,1.0
Brasilia Teimosa,1,2,1,1.0
Brejo Da Guabiraba,7,8,19,0.6785714285714286
Brejo De Beberibe,4,5,9,0.9
Cabanga,3,4,4,0.6666666666666666
Cacote,2,3,3,1.0
Cajueiro,5,6,11,0.7333333333333333
Campina Do Barreto,6,7,16,0.7619047619047619
Campo Grande,8,9,20,0.5555555555555556
Casa Amarela,6,7,14,0.6666666666666666
Casa Forte,6,7,15,0.7142857142857143
Caxanga,3,4,4,0.6666666666666666
Cidade Universitaria,3,4,5,0.8333333333333334
Coelhos,7,8,21,0.75
Cohab,2,3,3,1.0
Coqueiral,4,5,10,1.0
Cordeiro,7,8,11,0.39285714285714285
Corrego Do Jenipapo,5,6,12,0.8
Curado,7,8,20,0.7142857142857143
Derby,1,2,1,1.0
Dois Irmaos,3,4,3,0.5
Dois Unidos,2,3,3,1.0
Encruzilhada,6,7,11,0.5238095238095238
Engenho Do Meio,4,5,7,0.7
Espinheiro,2,3,3,1.0
Estancia,5,6,12,0.8
Fundao,8,9,21,0.5833333333333334
Gracas,6,7,8,0.38095238095238093
Guabiraba,5,6,12,0.8
Hipodromo,4,5,9,0.9
Ibura,6,7,10,0.47619047619047616
Ilha Do Leite,6,7,18,0.8571428571428571
Ilha Do Retiro,2,3,3,1.0
Ilha Joana Bezerra,5,6,12,0.8
Imbiribeira,4,5,8,0.8
Ipsep,3,4,5,0.8333333333333334
Iputinga,5,6,9,0.6
Jaqueira,5,6,9,0.6
Jardim Sao Paulo,9,10,26,0.5777777777777777
Jiquia,7,8,18,0.6428571428571429
Jordao,3,4,5,0.8333333333333334
Linha Do Tiro,6,7,11,0.5238095238095238
Macaxeira,5,6,10,0.6666666666666666
Madalena,4,5,7,0.7
Mangabeira,1,2,1,1.0
Mangueira,5,6,14,0.9333333333333333
Monteiro,5,6,12,0.8
Morro Da Conceicao,3,4,5,0.8333333333333334
Mustardinha,5,6,14,0.9333333333333333
Nova Descoberta,6,7,16,0.7619047619047619
Paissandu,6,7,18,0.8571428571428571
Parnamirim,5,6,10,0.6666666666666666
Passarinho,4,5,9,0.9
Pau-Ferro,3,4,6,1.0
Peixinhos,4,5,8,0.8
Pina,5,6,7,0.4666666666666667
Poco,5,6,12,0.8
Ponto De Parada,7,8,18,0.6428571428571429
Porto Da Madeira,4,5,9,0.9
Prado,4,5,7,0.7
Recife,3,4,5,0.8333333333333334
Rosarinho,3,4,5,0.8333333333333334
San Martin,9,10,22,0.4888888888888889
Sancho,6,7,18,0.8571428571428571
Santana,4,5,7,0.7
Santo Amaro,4,5,7,0.7
Santo Antonio,5,6,11,0.7333333333333333
Sao Jose,8,9,21,0.5833333333333334
Setubal,1,2,1,1.0
Sitio Dos Pintos,2,3,2,0.6666666666666666
Soledade,5,6,12,0.8
Tamarineira,5,6,8,0.5333333333333333
Tejipio,6,7,18,0.8571428571428571
Torre,3,4,5,0.8333333333333334
Torreao,2,3,3,1.0
Torroes,3,4,4,0.6666666666666666
Toto,5,6,14,0.9333333333333333
Varzea,4,5,6,0.6
Vasco Da Gama,2,3,3,1.0
Zumbi,4,5,8,0.8
