bairro,grau
Agua Fria,11
Arruda,9
Jardim Sao Paulo,9
San Martin,9
Sao Jose,8
Campo Grande,8
Boa Vista,8
Fundao,8
Curado,7
Ponto De Parada,7
Jiquia,7
Cordeiro,7
Barro,7
Brejo Da Guabiraba,7
Coelhos,7
Encruzilhada,6
Ilha Do Leite,6
Ibura,6
Nova Descoberta,6
Sancho,6
Paissandu,6
Linha Do Tiro,6
Gracas,6
Campina Do Barreto,6
Areias,6
Casa Forte,6
Casa Amarela,6
Tejipio,6
Boa Viagem,5
Afogados,5
Beberibe,5
Mustardinha,5
Parnamirim,5
Macaxeira,5
Santo Antonio,5
Toto,5
Tamarineira,5
Soledade,5
Poco,5
Pina,5
Jaqueira,5
Guabiraba,5
Iputinga,5
Ilha Joana Bezerra,5
Estancia,5
Bomba Do Hemeterio,5
Cajueiro,5
Alto Do Mandu,5
Mangueira,5
Monteiro,5
Corrego Do Jenipapo,5
Peixinhos,4
Zumbi,4
Varzea,4
Porto Da Madeira,4
Bongi,4
Apipucos,4
Brejo De Beberibe,4
Aflitos,4
Alto Jose Bonifacio,4
Coqueiral,4
Santana,4
Prado,4
Madalena,4
Imbiribeira,4
Hipodromo,4
Engenho Do Meio,4
Santo Amaro,4
Passarinho,4
Alto Santa Teresinha,3
Alto Jose Do Pinho,3
Recife,3
Rosarinho,3
Torre,3
Cidade Universitaria,3
Caxanga,3
Cabanga,3
Dois Irmaos,3
Morro Da Conceicao,3
Jordao,3
Ipsep,3
Pau-Ferro,3
Torroes,3
Torreao,2
Cohab,2
Cacote,2
Dois Unidos,2
Vasco Da Gama,2
Sitio Dos Pintos,2
Espinheiro,2
Ilha Do Retiro,2
Brasilia Teimosa,1
Derby,1
Mangabeira,1
Setubal,1
