Voos,Companhia.Aerea,Partida.Real,Chegada.Real,Aeroporto.Origem,Cidade.Origem,Estado.Origem,Pais.Origem,Aeroporto.Destino,Cidade.Destino,Estado.Destino,Pais.Destino,Cidade_Estado_Origem,Cidade_Estado_Destino,Duracao
AAL - 203,AMERICAN AIRLINES INC,2016-01-30 08:58:00+00:00,2016-01-30 10:35:00+00:00,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,Sao Jose Dos Pinhais/PR,Porto Alegre/RS,1.6166666666666667
AAL - 203,AMERICAN AIRLINES INC,2016-01-13 12:13:00+00:00,2016-01-13 21:30:00+00:00,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,Porto Alegre/RS,Miami/N/I,9.283333333333333
AAL - 203,AMERICAN AIRLINES INC,2016-01-03 23:05:00+00:00,2016-01-04 07:50:00+00:00,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Miami/N/I,Sao Jose Dos Pinhais/PR,8.75
AAL - 213,AMERICAN AIRLINES INC,2016-01-21 01:27:00+00:00,2016-01-21 08:49:00+00:00,Miami,Miami,N/I,Estados Unidos,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,Miami/N/I,Brasilia/DF,7.366666666666666
AAL - 214,AMERICAN AIRLINES INC,2016-01-13 23:59:00+00:00,2016-01-14 07:46:00+00:00,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,Miami,Miami,N/I,Estados Unidos,Brasilia/DF,Miami/N/I,7.783333333333333
AAL - 229,AMERICAN AIRLINES INC,2016-01-18 02:02:00+00:00,2016-01-18 10:02:00+00:00,Miami,Miami,N/I,Estados Unidos,Deputado Luis Eduardo Magalhaes,Salvador,BA,Brasil,Miami/N/I,Salvador/BA,8.0
AAL - 230,AMERICAN AIRLINES INC,2016-01-16 23:32:00+00:00,2016-01-17 07:59:00+00:00,Deputado Luis Eduardo Magalhaes,Salvador,BA,Brasil,Miami,Miami,N/I,Estados Unidos,Salvador/BA,Miami/N/I,8.45
AAL - 233,AMERICAN AIRLINES INC,2016-01-11 13:00:00+00:00,2016-01-11 22:10:00+00:00,Miami,Miami,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami/N/I,Guarulhos/SP,9.166666666666666
AAL - 234,AMERICAN AIRLINES INC,2016-01-11 12:46:00+00:00,2016-01-11 20:52:00+00:00,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,Guarulhos/SP,Miami/N/I,8.1
AAL - 273,AMERICAN AIRLINES INC,2016-01-28 01:27:00+00:00,2016-01-28 09:03:00+00:00,Miami,Miami,N/I,Estados Unidos,Guararapes - Gilberto Freyre,Recife,PE,Brasil,Miami/N/I,Recife/PE,7.6
AAL - 274,AMERICAN AIRLINES INC,2016-01-23 23:35:00+00:00,2016-01-24 08:04:00+00:00,Guararapes - Gilberto Freyre,Recife,PE,Brasil,Miami,Miami,N/I,Estados Unidos,Recife/PE,Miami/N/I,8.483333333333333
AAL - 901,AMERICAN AIRLINES INC,2016-01-04 16:47:00+00:00,2016-01-05 01:16:00+00:00,Miami,Miami,N/I,Estados Unidos,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Miami/N/I,Rio De Janeiro/RJ,8.483333333333333
AAL - 904,AMERICAN AIRLINES INC,2016-01-21 22:20:00+00:00,2016-01-22 07:22:00+00:00,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Miami,Miami,N/I,Estados Unidos,Rio De Janeiro/RJ,Miami/N/I,9.033333333333333
AAL - 905,AMERICAN AIRLINES INC,2016-01-19 00:49:00+00:00,2016-01-19 09:27:00+00:00,Miami,Miami,N/I,Estados Unidos,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Miami/N/I,Rio De Janeiro/RJ,8.633333333333333
AAL - 906,AMERICAN AIRLINES INC,2016-01-09 01:30:00+00:00,2016-01-09 10:05:00+00:00,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,Guarulhos/SP,Miami/N/I,8.583333333333334
AAL - 907,AMERICAN AIRLINES INC,2016-01-14 01:38:00+00:00,2016-01-14 10:20:00+00:00,Miami,Miami,N/I,Estados Unidos,Viracopos,Campinas,SP,Brasil,Miami/N/I,Campinas/SP,8.7
AAL - 929,AMERICAN AIRLINES INC,2016-01-11 23:05:00+00:00,2016-01-12 07:30:00+00:00,Miami,Miami,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami/N/I,Guarulhos/SP,8.416666666666666
AAL - 930,AMERICAN AIRLINES INC,2016-01-26 22:35:00+00:00,2016-01-27 07:10:00+00:00,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,Guarulhos/SP,Miami/N/I,8.583333333333334
AAL - 950,AMERICAN AIRLINES INC,2016-01-20 23:10:00+00:00,2016-01-21 09:00:00+00:00,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,New York,New York,N/I,Estados Unidos,Guarulhos/SP,New York/N/I,9.833333333333334
AAL - 951,AMERICAN AIRLINES INC,2016-01-01 01:25:00+00:00,2016-01-01 10:31:00+00:00,New York,New York,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,New York/N/I,Guarulhos/SP,9.1
AAL - 961,AMERICAN AIRLINES INC,2016-01-24 20:01:00+00:00,2016-01-25 01:30:00+00:00,Miami,Miami,N/I,Estados Unidos,Eduardo Gomes,Manaus,AM,Brasil,Miami/N/I,Manaus/AM,5.483333333333333
AAL - 964,AMERICAN AIRLINES INC,2016-01-31 02:21:00+00:00,2016-01-31 07:31:00+00:00,Eduardo Gomes,Manaus,AM,Brasil,Miami,Miami,N/I,Estados Unidos,Manaus/AM,Miami/N/I,5.166666666666667
AAL - 973,AMERICAN AIRLINES INC,2016-01-31 00:35:00+00:00,2016-01-31 10:22:00+00:00,New York,New York,N/I,Estados Unidos,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,New York/N/I,Rio De Janeiro/RJ,9.783333333333333
AAL - 974,AMERICAN AIRLINES INC,2016-01-25 23:00:00+00:00,2016-01-26 09:11:00+00:00,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,New York,New York,N/I,Estados Unidos,Rio De Janeiro/RJ,New York/N/I,10.183333333333334
AAL - 990,AMERICAN AIRLINES INC,2016-01-19 01:05:00+00:00,2016-01-19 09:19:00+00:00,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Miami,Miami,N/I,Estados Unidos,Rio De Janeiro/RJ,Miami/N/I,8.233333333333333
AAL - 991,AMERICAN AIRLINES INC,2016-01-31 00:42:00+00:00,2016-01-31 09:31:00+00:00,Miami,Miami,N/I,Estados Unidos,Tancredo Neves,Confins,MG,Brasil,Miami/N/I,Confins/MG,8.816666666666666
AAL - 992,AMERICAN AIRLINES INC,2016-01-26 23:24:00+00:00,2016-01-27 07:46:00+00:00,Tancredo Neves,Confins,MG,Brasil,Miami,Miami,N/I,Estados Unidos,Confins/MG,Miami/N/I,8.366666666666667
AAL - 995,AMERICAN AIRLINES INC,2016-01-25 00:55:00+00:00,2016-01-25 09:25:00+00:00,Miami,Miami,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami/N/I,Guarulhos/SP,8.5
AAL - 998,AMERICAN AIRLINES INC,2016-01-27 22:50:00+00:00,2016-01-28 07:33:00+00:00,Viracopos,Campinas,SP,Brasil,Miami,Miami,N/I,Estados Unidos,Campinas/SP,Miami/N/I,8.716666666666667
ACA - 90,AIR CANADA,2016-01-02 11:00:00+00:00,2016-01-02 21:13:00+00:00,Toronto,Toronto,N/I,Canada,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Toronto/N/I,Guarulhos/SP,10.216666666666667
ACA - 91,AIR CANADA,2016-01-11 22:28:00+00:00,2016-01-12 09:23:00+00:00,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Toronto,Toronto,N/I,Canada,Guarulhos/SP,Toronto/N/I,10.916666666666666
ACA - 98,AIR CANADA,2016-01-07 02:05:00+00:00,2016-01-07 13:05:00+00:00,Toronto,Toronto,N/I,Canada,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Toronto/N/I,Rio De Janeiro/RJ,11.0
ACA - 99,AIR CANADA,2016-01-12 21:47:00+00:00,2016-01-13 06:48:00+00:00,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Toronto,Toronto,N/I,Canada,Rio De Janeiro/RJ,Toronto/N/I,9.016666666666667
AEA - 57,AIR EUROPA S/A,2016-01-15 20:52:00+00:00,2016-01-16 07:34:00+00:00,Madrid,Madrid,N/I,Espanha,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Madrid/N/I,Guarulhos/SP,10.7
AEA - 58,AIR EUROPA S/A,2016-01-14 16:05:00+00:00,2016-01-15 02:30:00+00:00,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Madrid,Madrid,N/I,Espanha,Guarulhos/SP,Madrid/N/I,10.416666666666666
AEA - 83,AIR EUROPA S/A,2016-01-05 13:35:00+00:00,2016-01-05 22:16:00+00:00,Madrid,Madrid,N/I,Espanha,Deputado Luis Eduardo Magalhaes,Salvador,BA,Brasil,Madrid/N/I,Salvador/BA,8.683333333333334
