cidade_estado,grau
Guarulhos/SP,105
Campinas/SP,71
Rio De Janeiro/RJ,67
Brasilia/DF,59
Confins/MG,56
Recife/PE,39
Sao Paulo/SP,37
Salvador/BA,32
Porto Alegre/RS,31
Manaus/AM,29
Fortaleza/CE,25
Varzea Grande/MT,25
Belem/PA,23
Sao Jose Dos Pinhais/PR,21
Porto Seguro/BA,19
Ribeirao Preto/SP,18
Goiania/GO,17
Natal/RN,14
Rio Largo/AL,13
Uberlandia/MG,13
Belo Horizonte/MG,13
Campo Grande/MS,13
Buenos Aires/N/I,12
Lisboa/N/I,12
Miami/N/I,12
Florianopolis/SC,12
Foz Do Iguacu/PR,11
Sao Luis/MA,11
Maraba/PA,11
Teresina/PI,10
Bayeux/PB,10
Sao Jose Do Rio Preto/SP,9
Buenos Aires/Aeroparque/N/I,9
Aracaju/SE,9
Imperatriz/MA,9
Londrina/PR,9
Altamira/PA,9
Porto Velho/RO,8
Vitoria/ES,8
Ilheus/BA,8
Presidente Prudente/SP,8
Panama/N/I,8
Maringa/PR,8
Araguaina/TO,7
Uberaba/MG,7
Oriximina/PA,7
Palmas/TO,7
Santarem/PA,7
Itaituba/PA,6
Navegantes/SC,6
Orlando/N/I,6
Juazeiro Do Norte/CE,6
Chapeco/SC,5
Arealva/SP,5
Tres Lagoas/MG,5
Passo Fundo/RS,5
Frankfurt/N/I,5
Punta Cana/N/I,5
Vitoria Da Conquista/BA,5
Cordoba/N/I,4
Parauapebas/PA,4
Parintins/AM,4
Parnaiba/PI,4
Tefe/AM,4
Montevideu/N/I,4
Lima/N/I,4
Joinville/SC,4
Macapa/AP,4
Feira De Santana/BA,4
Goiana/MG,4
Cabo Frio/RJ,4
Campina Grande/PB,4
Cascavel/PR,4
Sena Madureira/AC,4
Rondonopolis/MT,4
Petrolina/PE,4
Dourados/MS,4
Sao Gabriel Da Cachoeira/AM,3
Sao Domingo/De Las Americas/N/I,3
Paris/N/I,3
Redencao/PA,3
Sinop/MT,3
Santiago Do Chile/N/I,3
Montes Claros/MG,3
Corumba/MS,3
Caldas Novas/GO,3
Sorriso/MT,3
Milao/N/I,3
New York/N/I,3
Madrid/N/I,3
Ilha Do Sal/N/I,3
Humaita/AM,3
Barreiras/BA,3
Araxa/MG,3
Alta Floresta/MT,3
Atlanta/Intl/N/I,3
Bogota/N/I,3
Boa Vista/RR,3
Bonito/MS,3
Almeirim/PA,2
Porto/N/I,2
Santana Do Paraiso/MG,2
Patos De Minas/MG,2
Tabatinga/AM,2
Zurique/N/I,2
Washington/Dulles Intl/N/I,2
Roma/N/I,2
Sao Jose Dos Campos/SP,2
Valenca/BA,2
Viru Viru/N/I,2
Tucurui/PA,2
Campos Dos Goytacazes/RJ,2
Caiena/N/I,2
Casablanca/N/I,2
Amsterdam/N/I,2
Aruba/N/I,2
Barra Do Garcas/MT,2
Barcelos/AM,2
Carauari/AM,2
Caxias Do Sul/RS,2
Cruzeiro Do Sul/AC,2
Dallas/Fort Worth/N/I,2
Coari/AM,2
Conceicao Do Araguaia/PA,2
Toronto/N/I,2
Manicore/AM,2
Londres/N/I,2
Houston/N/I,2
Governador Valadares/MG,2
Fernando De Noronha/PE,2
Labrea/AM,2
Dubai International/N/I,2
Jaguaruna/SC,2
Marilia/SP,2
Lencois/BA,2
Luanda/N/I,2
Mexico/N/I,2
Rosario/N/I,2
Curacao/N/I,1
Detroit/N/I,1
Aracatuba/SP,1
Ab Dhabi International/N/I,1
Addis Ababa/N/I,1
Charlotte Douglas Intl/N/I,1
Chicago/N/I,1
Cheddi Jagan Intl/N/I,1
Cidade Del Este/N/I,1
Cochabamba/N/I,1
Cabo Verde/N/I,1
Cancun/Intl/N/I,1
Caracas/Intl/N/I,1
Cacoal/RO,1
Carolina/MA,1
Barcelona/N/I,1
Assuncao/N/I,1
Bridgetown/Grantley Adams/N/I,1
Fort Lauderdale/N/I,1
Ourilandia Do Norte/PA,1
Munchen/N/I,1
Newark / Intl Nj/N/I,1
Los Angeles/N/I,1
Macae/RJ,1
Luxemburgo/N/I,1
Maldonado-Uruguai/N/I,1
Lome/N/I,1
Forquilhinha/SC,1
Divinopolis/MG,1
Istanbul/Ataturk/N/I,1
Johannesburg/N/I,1
Ji-Parana/RO,1
Jericoacara/CE,1
Lages/SC,1
Santa Maria/RS,1
Eirunepe/AM,1
Doha/N/I,1
Mendoza/N/I,1
Paulo Afonso/BA,1
Ponta Grossa/PR,1
Quito/N/I,1
Pelotas/RS,1
Varginha/MG,1
Rio Verde/GO,1
Teixeira De Freitas/BA,1
Santo Angelo/RS,1
Vilhena/RO,1
Uruguaiana/RS,1
Zandery/N/I,1
Dacar/N/I,0
