bairro_origem,bairro_destino,logradouro,observacao,peso
Recife,Santo Amaro,Rua do Hospicio,1rua,2.0
Recife,Boa Vista,Rua Gervasio Pires+Rua Joao Lira+Av. Mario Melo+Rua do Hospicio,3ruas+1av,7.0
Recife,Cabanga,PE-009+Av. Eng. Jose Estelita+R. do Imperador Pedro II+R. Princesa Isabel,1pe+1av+2ruas,5.5
Recife,Ilha Do Leite,Av. Gov. Agamenon Magalhaes+R. Dom Paulo II+Av. Eng. Jose Estelita+R. do Imperador Pedro II+R. Princesa Isabel,2av+3ruas,8.0
Recife,Paissandu,R. Princesa Isabel+R. do Sol+R. Velha+R. Joaquim de Brito,3ruas,6.0
Recife,Santo Antonio,R. Princesa Isabel+R. do Sol,2ruas,4.0
Recife,Sao Jose,R. do Sol+R. Floriano Peixoto,2ruas,4.0
Recife,Soledade,Av. Conde da Boa Vista+R. do Hospicio,1av+1rua,3.0
Recife,Coelhos,Ponte Viaduto Joaquim Cardozo+R. Floriano Peixoto+R. do Sol+R. Princesa Isabel,1ponte+3ruas,6.5
Recife,Ilha Joana Bezerra,R. Pref. Jorge Martins+Av. Rio Capibaribe+R. Floriano Peixoto+R. do Sol+R. Princesa Isabel,1av+4ruas,9.0
Santo Amaro,Boa Vista,Av. Conde da Boa Vista+R. Hospicio+Av. Cruz Cabuga,2av+1rua,4.0
Santo Amaro,Cabanga,PE-001+PE+009,2pe,1.0
Santo Amaro,Ilha Do Leite,R. do Hospicio+Av. Cruz Cabuga,1rua+1av,3.0
Santo Amaro,Paissandu,Av. Agamenon Magalhaes+R. Monte Carlo+Av. Cruz Cabuga,2av+1rua,4.0
Santo Amaro,Santo Antonio,Av. Cruz Cabuga+R. Princesa Isabel+R. do Sol,1av+2ruas,5.0
Santo Amaro,Sao Jose,Av. Cruz Cabuga+R. Floriano Peixoto+R. do Sol,1av+2ruas,5.0
Santo Amaro,Soledade,Av. Cruz Cabuga+R. do Hospicio+Av. Conde da Boa Vista,2av+1rua,4.0
Santo Amaro,Coelhos,Av. Cruz Cabuga+R. do Hospicio+R. da Santa Cruz,1av+2ruas,5.0
Santo Amaro,Ilha Joana Bezerra,Av. Cruz Cabuga+R. Princesa Isabel+R. do Sol+R. Floriano Peixoto+R. Imperial+R. Pref. Jorge Martins,1av+5ruas,11.0
Boa Vista,Cabanga,Av. Gov. Agamenon Magalhaes+R. Barao de Sao Borja+R. Dom Paulo II,1av+2ruas,5.0
Boa Vista,Ilha Do Leite,R. Barao de Sao Borja+R. Joaquim de Brito,2ruas,4.0
Boa Vista,Paissandu,R. Gervasio Pires+R. Barao de Sao Borja+R. Joaquim de Brito,3ruas,6.0
Boa Vista,Santo Antonio,R. Princesa Isabel+R. do Sol,2ruas,4.0
Boa Vista,Sao Jose,R. Princesa Isabel+R. do Sol+R. Floriano Peixoto,3ruas,6.0
Boa Vista,Soledade,Av. Conde da Boa Vista,1av,1.0
